"1,Ph?n c?a ???ng b? ???c s? d?ng cho các ph??ng ti?n giao thông qua l?i là gì?,,KNQTGT,,,,Ph?n m?t ???ng và l? ???ng.,Ph?n ???ng xe ch?y.,Ph?n ???ng xe c? gi?i.,,2,"																																
"50,""Ng??i ng?i trên xe mô tô hai bánh, xe mô tô ba bánh, xe g?n máy khi tham gia giao thông có ???c s? d?ng ô khi tr?i m?a hay không?"",,KNQTGT,,,1,???c s? d?ng.,Ch? ng??i ng?i sau ???c s? d?ng.,Không ???c s? d?ng.,???c s? d?ng n?u không có áo m?a.,3,"																																
"51,Khi ?ang lên d?c ng??i ng?i trên xe mô tô có ???c phép kéo theo ng??i ?ang ?i?u khi?n xe ??p hay không?,,KNQTGT,,,1,Ch? ???c phép n?u c? hai ??i m? b?o hi?m.,Không ???c phép.,Ch? ???c phép th?c hi?n trên ???ng th?t v?ng.,Ch? ???c phép khi ng??i ?i xe ??p ?ã quá m?t.,2,"																																
"52,""Hành vi s? d?ng xe mô tô ?? kéo, ??y xe mô tô khác b? h?t x?ng ??n tr?m mua x?ng có ???c phép hay không?"",,KNQTGT,,,1,Ch? ???c kéo n?u ?ã nhìn th?y tr?m x?ng.,Ch? ???c th?c hi?n trên ???ng v?ng ph??ng ti?n cùng tham gia giao thông.,Không ???c phép.,,3,"																																
"53,""Hành vi v?n chuy?n ?? v?t c?ng k?nh b?ng xe mô tô, xe g?n máy khi tham gia giao thông có ???c phép hay không?"",,KNQTGT,,,1,Không ???c v?n chuy?n.,Ch? ???c v?n chuy?n khi ?ã ch?ng bu?c c?n th?n.,Ch? ???c v?n chuy?n v?t c?ng k?nh trên xe máy n?u kho?ng cách v? nhà ng?n h?n 2 km.,,1,"																																
"54,""Ng??i ?? bao nhiêu tu?i tr? lên thì ???c ?i?u khi?n xe ô tô t?i, máy kéo có tr?ng t?i t? 3.500 kg tr? lên; xe h?ng B2 kéo r? moóc (FB2)?"",,KNQTGT,,,,19 tu?i.,21 tu?i.,20 tu?i.,,2,"																																
"55,""Ng??i ?? bao nhiêu tu?i tr? lên thì ???c ?i?u khi?n xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh t? 50 cm3 tr? lên và các lo?i xe có k?t c?u t??ng t?; xe ô tô t?i, máy kéo có tr?ng t?i d??i 3.500 kg; xe ô tô ch? ng??i ??n 9 ch? ng?i?"",,KNQTGT,,,,16 tu?i.,18 tu?i.,17 tu?i.,,2,"																																
"56,""Ng??i lái xe ô tô ch? ng??i trên 30 ch? ng?i (h?ng E), lái xe h?ng D kéo r? moóc (FD) ph?i ?? bao nhiêu tu?i tr? lên?"",,KNQTGT,,,,23 tu?i.,24 tu?i.,27 tu?i.,30 tu?i.,3,"																																
"57,Tu?i t?i ?a c?a ng??i lái xe ô tô ch? ng??i trên 30 ch? ng?i (h?ng E) là bao nhiêu tu?i?,,KNQTGT,,,,55 tu?i ??i v?i nam và 50 tu?i ??i v?i n?.,55 tu?i ??i v?i nam và n?.,60 tu?i ??i v?i nam và 55 tu?i ??i v?i n?.,45 tu?i ??i v?i nam và 40 tu?i ??i v?i n?.,1,"																																
"58,""Ng??i lái xe ch? ng??i t? 10 ??n 30 ch? ng?i (h?ng D), lái xe h?ng C kéo r? moóc (FC) ph?i ?? bao nhiêu tu?i tr? lên?"",,KNQTGT,,,,23 tu?i.,24 tu?i.,22 tu?i.,18 tu?i.,2,"																																
"59,Ng??i ?? 16 tu?i ???c ?i?u khi?n các lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô 2 bánh có dung tích xi-lanh t? 50 cm3 tr? lên.,Xe g?n máy có dung tích xi-lanh d??i 50 cm3.,Xe ô tô t?i d??i 3.500 kg; xe ch? ng??i ??n 9 ch? ng?i.,T?t c? các ý nêu trên.,2,"																																
"60,Ng??i có gi?y phép lái xe mô tô h?ng A1 không ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô có dung tích xi-lanh 125 cm3.,Xe mô tô có dung tích xi-lanh t? 175 cm3 tr? lên.,Xe mô tô có dung tích xi-lanh 100 cm3.,,2,"																																
"61,Ng??i có gi?y phép lái xe mô tô h?ng A1 ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô có dung tích xi-lanh t? 50 cm3 ??n d??i 175 cm3.,Xe mô tô ba bánh dành cho ng??i khuy?t t?t.,C? ý 1 và ý 2.,,3,"																																
"62,Ng??i có gi?y phép lái xe mô tô h?ng A2 ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô ba bánh.,Xe mô tô hai bánh có dung tích xi lanh t? 175 cm3 tr? lên và các lo?i xe quy ??nh cho gi?y phép lái xe h?ng A1.,Các lo?i máy kéo nh? có tr?ng t?i ??n 1.000 kg.,,2,"																																
"63,Ng??i có gi?y phép lái xe mô tô h?ng A3 ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô ba bánh.,Xe mô tô hai bánh có dung tích xi lanh t? 175 cm3 tr? lên.,Các lo?i máy kéo nh? có tr?ng t?i ??n 1.000 kg.,,1,"																																
"64,Ng??i có gi?y phép lái xe h?ng B1 s? t? ??ng ???c ?i?u khi?n lo?i xe nào?,,KNQTGT,,,,""Ô tô s? t? ??ng ch? ng??i ??n 9 ch? ng?i, k? c? ch? ng?i cho ng??i lái xe; ô tô t?i, k? c? ô tô t?i chuyên dùng s? t? ??ng có tr?ng t?i thi?t k? d??i 3.500 kg; ô tô dùng cho ng??i khuy?t t?t. Không ???c hành ngh? lái xe."",""Ô tô s? t? ??ng ch? ng??i ??n 9 ch? ng?i,"	k? c? c	"h? ng?i cho ng??i lái xe; ô tô t?i, k? c? ô t"	ô	t?i	chu	yê	n d	ùng s?	t? ??n	g có	tr?n	g	t?	i	thi	?t k?	d??i	3.5	0 k	g; ô	t	ô d	ùng c	ho	ng??	i kh	uy?t t?	t.	???c	hàn	h	"ngh? lái xe kinh doanh v?n t?i."",""Ô tô ch? ng??i ??n 9 ch? ng?i, k? c? ch? ng?i cho ng??i lái xe; ô tô t?i, k? c? ô tô t?i chuyên dùng có tr?ng t?i thi?t k? d??i 3.500 kg; ô tô dùng cho ng??i khuy?t t?t."",,1,"
"65,Ng??i có gi?y phép lái xe h?ng B1 ???c ?i?u khi?n lo?i xe nào?,,KNQTGT,,,,""Ô tô ch? ng??i ??n 9 ch? ng?i, k? c? ch? ng?i cho ng??i lái xe; ô tô t?i, k? c? ô tô t?i chuyên dùng có tr?ng t?i thi?t k? d??i 3.500 kg; máy kéo kéo m?t r? moóc có tr?ng t?i thi?t k? d??i 3.500 kg. ???c hành ngh? lái xe."",""Ô tô ch? ng??i ??n 9 ch? ng?i, k? c? ch? ng?i cho ng"	??i lái	"xe; ô tô t?i, k? c? ô tô t?i chuyên dùng có"	tr	?ng	t?i	t	hi?	t k? d	??i 3.5	00 kg	; má	y	ké	o	kéo	m?t	r? mo	óc có	tr	?ng	t?	i t	hi?t	k?	d??i	3.5	00 kg.	Khô	ng hà	nh	ng	"h? lái xe."",""Ô tô s? t? ??ng ch? ng??i ??n 9 ch? ng?i, k? c? ch? ng?i cho ng??i lái xe; ô tô t?i, k? c? ô tô t?i chuyên dùng s? t? ??ng có tr?ng t?i thi?t k? trên 3.500 kg; ô tô dùng cho ng??i khuy?t t?t."",,2,"
"66,Ng??i có gi?y phép lái xe h?ng B2 ???c ?i?u khi?n lo?i xe nào?,,KNQTGT,,,,Xe ô tô ch? ng??i trên 9 ch? ng?i; xe ô tô t?i; máy kéo có tr?ng t?i trên 3.500 kg.,Xe ô tô ch? ng??i ??n 9 ch? ng?i; xe ô tô t?i; máy kéo có tr?ng t?i d??i 3.500 kg.,Xe ô tô ch? ng??i t? 10 ??n 30 ch? ng?i; xe ô tô t?i; máy kéo có tr?ng t?i trên 3.500 kg.,,2,"																																
"67,Ng??i có gi?y phép lái xe h?ng C ???c ?i?u khi?n lo?i xe nào?,,KNQTGT,,,,Xe ô tô ch? ng??i trên 9 ch? ng?i; xe ô tô t?i; máy kéo có tr?ng t?i trên 3.500 kg.,Xe ô tô ch? ng??i t? 10 ??n 30 ch? ng?i; xe ô tô t?i; máy kéo có tr?ng t?i trên 3.500 kg.,Xe ô tô ch? ng??i ??n 9 ch? ng?i; xe ô tô t?i; máy kéo có tr?ng t?i trên 3.500 kg.,,3,"																																
"68,Ng??i có gi?y phép lái xe h?ng D ???c ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,""Xe ô tô ch? ng??i ??n 30 ch? ng?i, k? c? ch? ng?i cho ng??i lái xe; xe ô tô t?i, máy kéo có tr?ng t?i trên 3.500 kg."",""Xe ô tô ch? ng??i trên 30 ch? ng?i; xe ô tô t?i, máy kéo có tr?ng t?i trên 3.500 kg."",""Xe kéo r? moóc, ô tô ??u kéo kéo s? mi r? moóc và ???c ?i?u kh"	i?n các	lo?i xe theo quy ??nh cho gi?y phép lái xe h	?n	g B1	", B"	"2,"	C	và FB2	"."",,1,"																							
"69,Ng??i có gi?y phép lái xe h?ng E ???c ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,""Xe kéo r? moóc, ô tô ??u kéo kéo s? mi r? moóc và ???c ?i?u khi?n các lo?i xe theo quy ??nh cho gi?y phép lái xe h?ng B1, B2, C và FB2."",""Xe ô tô ch? ng??i trên 30 ch? ng?i; xe ô tô t?i, máy kéo có tr?ng t?i trên 3.500 kg."",""Xe kéo r? moóc và ???c ?i?u khi?n các lo?i"	xe; ô t	ô ch? khách n?i toa và các lo?i xe quy ??nh c	ho	gi?	y p	hé	p l	ái xe	h?ng B1	", B2,"	"C,"	"D,"	F	B2	", F"	"D."",,"	"2,"															
"70,Ng??i có gi?y phép lái xe h?ng FC ???c ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,""Các lo?i xe ???c quy ??nh t?i gi?y phép lái xe h?ng C có kéo r? moóc, ô tô ??u kéo kéo s? mi r? moóc, ô tô ch? khách n?i toa và ???c ?i?u khi?n các lo?i xe quy ??nh cho gi?y phép lái xe h?ng B1, B2 và FB2."",""Các lo?i xe ???c quy ??nh t?i gi?y phép lái xe h?ng C có ké"	o r? mo	"óc, ô tô ??u kéo kéo s? mi r? moóc và ???c ?i"	?u	khi	?n	cá	c l	o?i xe	quy ??	nh ch	o gi	?y	p	hé	p l	ái xe	h?ng	"B1,"	B2	và F	B2	"."","	"""Mô t"	ô h	ai b	"ánh,"	các lo	?i	xe ??	?c	qu	"y ??nh t?i gi?y phép lái xe h?ng C có kéo r? moóc, ô tô ??u kéo kéo s? mi r? moóc và ???c ?i?u khi?n các lo?i xe quy ??nh cho gi?y phép lái xe h?ng B1, B2 và FB2."",T?t c? các lo?i xe nêu trên.,2,"
"71,Ng??i có gi?y phép lái xe h?ng FE ???c ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,""Các lo?i xe ???c quy ??nh t?i gi?y phép lái xe h?ng E có kéo r? moóc và ???c ?i?u khi?n các lo?i xe: ô tô ch? khách n?i toa và các lo?i xe quy ??nh cho gi?y phép lái xe h?ng B1, B2, C, D, FB2, FD."",""Các lo?i xe ???c quy ??nh t?i gi?y phép lái xe h?ng E có kéo r? moóc"	", ô tô"	??u kéo kéo s? mi r? moóc và ???c ?i?u khi?n	cá	c lo	?i	xe	: ô	tô ch	? khách	n?i	toa	và	c	ác	lo	?i xe	quy	??nh	cho	gi?	y	phé	p lái	xe	h?n	g B1	", B2, C"	", D"	", FB2"	", F"	D.	""",T?t c? các lo?i xe nêu trên.,,1,"
"72,""Bi?n báo hi?u có d?ng hình tròn, vi?n ??, n?n tr?ng, trên n?n có hình v? ho?c ch? s?, ch? vi?t màu ?en là lo?i bi?n gì d??i ?ây?"",qnthigplx_vn__q72.png,KNQTGT,,,,Bi?n báo nguy hi?m.,Bi?n báo c?m.,Bi?n báo hi?u l?nh.,Bi?n báo ch? d?n.,2,"																																
"73,""Bi?n báo hi?u có d?ng tam giác ??u, vi?n ??, n?n màu vàng, trên có hình v? màu ?en là lo?i bi?n gì d??i ?ây?"",qnthigplx_vn__q73.png,KNQTGT,,,,Bi?n báo nguy hi?m.,Bi?n báo c?m.,Bi?n báo hi?u l?nh.,Bi?n báo ch? d?n.,1,"																																
"74,Bi?n báo hi?u hình tròn có n?n xanh lam có hình v? màu tr?ng là lo?i bi?n gì d??i ?ây?,qnthigplx_vn__q74.png,KNQTGT,,,,Bi?n báo nguy hi?m.,Bi?n báo c?m.,Bi?n báo hi?u l?nh ph?i thi hành.,Bi?n báo ch? d?n.,3,"																																
"75,Bi?n báo hi?u hình ch? nh?t ho?c hình vuông ho?c hình m?i tên n?n xanh lam là lo?i bi?n gì d??i ?ây?,qnthigplx_vn__q75.png,KNQTGT,,,,Bi?n báo nguy hi?m.,Bi?n báo c?m.,Bi?n báo hi?u l?nh ph?i thi hành.,Bi?n báo ch? d?n.,4,"																																
"76,""Khi t?p lái xe ô tô, ng??i t?p lái xe ph?i th?c hi?n các ?i?u ki?n gì d??i ?ây?"",,KNQTGT,,,,Ph?i th?c hành lái xe trên xe t?p lái và có giáo viên b?o tr? tay lái.,Ph?i mang theo phù hi?u “h?c viên t?p lái xe“.,""Ph?i mang theo gi?y ch?ng nh?n ki?m ??nh an toàn k? thu?t và b?o v? môi tr??ng còn hi?u l?c, gi?y phép v?n chuy?n (n?u các lo?i xe ?ó c?n p"	h?i có)	"."",C? ý 1 và ý 2.,4,"																														
"77,""Khi d?y th?c hành lái xe, giáo viên ph?i mang theo các lo?i gi?y t? gì d??i ?ây?"",,KNQTGT,,,,""Ph?i mang theo phù hi?u “Giáo viên d?y lái xe“, gi?y ch?ng nh?n ki?m ??nh an toàn k? thu?t và b?o v? môi tr??ng còn hi?u l?c, gi?y phép xe t?p lái do c? quan có th?m quy?n c?p còn hi?u l?c."",Ph?i mang theo phù hi?u “h?c viên t?p lái xe” và k? ho?ch h?c t?p"	c?a kh	"óa h?c.,""Ph?i mang theo gi?y ch?ng nh?n Giáo"	vi	ên d	?y	th	?c	hành l	"ái xe,"	biên	lai	th	u	ph	í b	?o tr	ì ???	ng b?	"."","	",1,"												
"78,Xe ô tô t?p lái ph?i ??m b?o các ?i?u ki?n gì d??i ?ây?,,KNQTGT,,,,""G?n 02 bi?n “T?P LÁI” tr??c và sau xe, có h? th?ng phanh ph? ???c l?p ??t b?o ??m hi?u qu? phanh, ???c b? trí bên gh? ng?i c?a giáo viên d?y th?c hành lái xe."",""Xe t?p lái lo?i t?i thùng có mui che m?a, che n?ng, gh? ng?i cho h?c viên, có gi?y ch?ng nh?n ki?m ??nh an toàn k? thu?t v"	à b?o v	? môi tr??ng ph??ng ti?n giao thông c? gi?i ?	??	ng b	? c	òn	hi	?u l?c	"."",C? ý"	1 và	ý 2	".,"	",3"	","																		
"79,Vi?c sát h?ch c?p gi?y phép lái xe ô tô ph?i th?c hi?n ? ?âu và nh? th? nào?,,KNQTGT,,,,""T?i các c? s? ?ào t?o lái xe có ?? ?i?u ki?n và ph?i b?o ??m công khai, minh b?ch."",""T?i sân t?p lái c?a c? s? ?ào t?o lái xe và ph?i ??m b?o công khai, minh b?ch."",""T?i các trung tâm sát h?ch lái xe có ?? ?i?u ki?n ho?t ??ng và ph?i b?o ??m công khai, minh b?ch"	"."",,3,"																															
"80,""Khi ?i?u khi?n xe ch?y trên ???ng, ng??i lái xe ph?i mang theo các lo?i gi?y t? gì?"",,KNQTGT,,,,""Gi?y ch?ng nh?n t?t nghi?p khóa ?ào t?o c?a h?ng xe ?ang ?i?u khi?n, ??ng ký xe, gi?y phép l?u hành xe."",""Gi?y phép lái xe phù h?p v?i lo?i xe ?ó; l?nh v?n chuy?n, ??ng ký xe, gi?y ch?ng nh?n ki?m tra ch?t l??ng an toàn k? thu?t và b?o v? môi tr??ng c?a"	xe c?	gi?i sau khi c?i t?o; gi?y phép v?n chuy?n (n	?u	lo?	i x	e	?ó	c?n ph	?i có).	""",""Gi"	?y p	hé	p	lá	i x	e phù	h?p	v?i l	o?i	xe	?ó	", ?"	?ng k	ý x	"e, g"	i?y	ch?ng n	h?n	ki?m	??	nh	"k? thu?t và b?o v? môi tr??ng, gi?y ch?ng nh?n b?o hi?m trách nhi?m dân s? c?a ch? xe c? gi?i và gi?y phép v?n chuy?n (n?u lo?i xe ?ó c?n ph?i có), các gi?y t? ph?i còn giá tr? s? d?ng."",,3,"
"81,""Khi s? d?ng gi?y phép lái xe ?ã khai báo m?t ?? ?i?u khi?n ph??ng ti?n c? gi?i ???ng b?, ngoài vi?c b? thu h?i gi?y phép lái xe, ch?u trách nhi?m tr??c pháp lu?t, ng??i lái xe không ???c c?p gi?y phép lái xe trong th?i gian bao nhiêu n?m?"",,KNQTGT,,,,2 n?m.,3 n?m.,5 n?m.,4 n?m.,3,"																																
"82,Khi g?p hi?u l?nh nh? d??i ?ây c?a c?nh sát giao thông thì ng??i tham gia giao thông ph?i ?i nh? th? nào là ?úng quy t?c giao thông?,qnthigplx_vn__q82.png,KNQTGT,,,,Ng??i tham gia giao thông ? các h??ng ph?i d?ng l?i.,Ng??i tham gia giao thông ? các h??ng ???c ?i theo chi?u g?y ch? c?a c?nh sát giao thông.,Ng??i tham gia giao thông ? phía tr??c và p"	hía sau	ng??i ?i?u khi?n ???c ?i t?t c? các h??ng; g	ia	o th	ông	?	ph	ía bên	ph?i v	à phí	a bê	n	tr	ái	ng	??i ?	i?u k	hi?n	ph?	i d?	ng	l?	"i.,Ng"	??i	tha	m gi	a giao	thô	ng ?	phí	a	"tr??c và phía sau ng??i ?i?u khi?n ph?i d?ng l?i; giao thông ? phía bên ph?i và bên trái ng??i ?i?u khi?n ???c ?i t?t c? các h??ng.,4,"
"83,Khi g?p hi?u l?nh nh? d??i ?ây c?a c?nh sát giao thông thì ng??i tham gia giao thông ph?i ?i nh? th? nào là ?úng quy t?c giao thông?,qnthigplx_vn__q83.png,KNQTGT,,,,""Ng??i tham gia giao thông ? h??ng ??i di?n c?nh sát giao thông ???c ?i, các h??ng khác c?n ph?i d?ng l?i."",Ng??i tham gia giao thông ???c r? ph?i theo chi?u m?i tên màu xanh ? b?c c?nh"	sát gia	"o thông.,Ng??i tham gia giao thông ? các h??n"	g	??u	ph?	i	d?n	g l?i	tr? các	xe ?	ã ?	tr	on	g	khu	v?c	giao	nhau.	",""N"	g??i	?	h?	?ng ?	?i	di?n	c?n	h sát g	iao	thôn	g p	h?	"i d?ng l?i, các h??ng khác ???c ?i trong ?ó có b?n."",3,"
"84,""Trên ???ng giao thông, khi hi?u l?nh c?a ng??i ?i?u khi?n giao thông trái v?i hi?u l?nh c?a ?èn ho?c bi?n báo hi?u thì ng??i tham gia giao thông ph?i ch?p hành theo hi?u l?nh nào?"",,KNQTGT,,,1,Hi?u l?nh c?a ng??i ?i?u khi?n giao thông.,Hi?u l?nh c?a ?èn ?i?u khi?n giao thông.,Hi?u l?nh c?a bi?n báo hi?u ???ng b?.,Theo quy?t ??nh c?a ng??i tham gia"	giao th	"ông nh?ng ph?i b?o ??m an toàn.,1,"																														
"85,T?i n?i có bi?n báo hi?u c? ??nh l?i có báo hi?u t?m th?i thì ng??i tham gia giao thông ph?i ch?p hành hi?u l?nh c?a báo hi?u nào?,,KNQTGT,,,,Bi?n báo hi?u c? ??nh.,Báo hi?u t?m th?i.,,,,"																																
"86,""Trên ???ng có nhi?u làn ???ng cho xe ?i cùng chi?u ???c phân bi?t b?ng v?ch k? phân làn ???ng, ng??i ?i?u khi?n ph??ng ti?n ph?i cho xe ?i nh? th? nào?"",,KNQTGT,,,,""Cho xe ?i trên b?t k? làn ???ng nào ho?c gi?a 02 làn ???ng n?u không có xe phía tr??c; khi c?n thi?t ph?i chuy?n làn ???ng, ng??i lái xe ph?i quan sát xe phía tr??c ?? b?o ??m an toàn."""	",Ph?i c"	ho xe ?i trong m?t làn ???ng và ch? ???c chuy	?n	làn	??	?n	g ?	nh?ng	n?i ch	o phé	p; k	hi	c	hu	y?n	làn	ph?i	có tí	n h	i?u	bá	o t	r??c	và	ph?i	b?o	??m an	to	"àn.,"""	Ph?	i	"cho xe ?i trong m?t làn ???ng, khi c?n thi?t ph?i chuy?n làn ???ng, ng??i lái xe ph?i quan sát xe phía tr??c ?? b?o ??m an toàn."",,2,"
"87,""Trên ???ng m?t chi?u có v?ch k? phân làn ???ng, xe thô s? và xe c? gi?i ph?i ?i nh? th? nào là ?úng quy t?c giao thông?"",,KNQTGT,,,,""Xe thô s? ph?i ?i trên làn ???ng bên trái ngoài cùng, xe c? gi?i, xe máy chuyên dùng ?i trên làn ???ng bên ph?i."",""Xe thô s? ph?i ?i trên làn ???ng bên ph?i trong cùng; xe c? gi?i, xe máy chuyên dùng ?i trên làn ???ng"	bên tr	"ái."",""Xe thô s? ?i trên làn ???ng phù h?p khô"	ng	gây	c?	n	tr?	giao	"thông,"	xe c?	gi?	"i,"	x	e	máy	chuy	ên dù	ng ?i	tr	ên l	àn	??	?ng b	ên	ph?i	"."",,"	"2,"					
"88,""B?n ?ang lái xe trong khu v?c ?ô th? t? 22 gi? ??n 5 gi? sáng hôm sau và c?n v??t m?t xe khác, b?n c?n báo hi?u nh? th? nào ?? ??m b?o an toàn giao thông?"",,KNQTGT,,,,Ph?i báo hi?u b?ng ?èn ho?c còi.,Ch? ???c báo hi?u b?ng còi.,Ph?i báo hi?u b?ng c? còi và ?èn.,Ch? ???c báo hi?u b?ng ?èn.,4,"																																
"89,Khi ?i?u khi?n xe ch?y trên ???ng bi?t có xe sau xin v??t n?u ?? ?i?u ki?n an toàn ng??i lái xe ph?i làm gì?,,KNQTGT,,,,""T?ng t?c ?? và ra hi?u cho xe sau v??t, không ???c gây tr? ng?i cho xe sau v??t."",""Ng??i ?i?u khi?n ph??ng ti?n phía tr??c ph?i gi?m t?c ??, ?i sát v? bên ph?i c?a ph?n ???ng xe ch?y cho ??n khi xe sau ?ã v??t qua, không ???c gây"	tr? ng?	"i cho xe sau v??t."",""Ng??i ?i?u khi?n ph??ng"	ti	?n p	hía	t	r??	c ph?i	gi?m t	?c ??	", ?i"	s	át	v	? b	ên ph	?i c?	a ph?	n ?	??ng	x	e c	h?y c	ho	??n	khi	xe sau	?ã	v??t	qua	","	"không ???c gây tr? ng?i cho xe sau v??t."",,2,"
"90,""Trong khu dân c?, ? n?i nào cho phép ng??i lái xe, ng??i ?i?u khi?n xe máy chuyên dùng ???c quay ??u xe?"",,KNQTGT,,,,? n?i ???ng giao nhau và n?i có bi?n báo cho phép quay ??u xe.,? n?i có ???ng r?ng ?? cho các lo?i xe ch?y m?t chi?u.,? b?t k? n?i nào.,,1,"																																
"91,""Ng??i lái xe ph?i làm gì khi quay ??u xe trên c?u, ???ng ng?m hay khu v?c ???ng b? giao nhau cùng m?c v?i ???ng s?t?"",,KNQTGT,,,1,Không ???c quay ??u xe.,L?i d?ng ch? r?ng và ph?i có ng??i làm tín hi?u sau xe ?? b?o ??m an toàn.,L?i d?ng ch? r?ng có th? quay ??u ???c ?? quay ??u xe cho an toàn.,,1,"																																
