id,title,image,type,description,isSaved,isEssential,option1,option2,option3,option4,rightAnswer,isLearned
1,Phần của đường bộ được sử dụng cho các phương tiện giao thông qua lại là gì?,,KNQTGT,,,,Phần mặt đường và lề đường.,Phần đường xe chạy.,Phần đường xe cơ giới.,,2,
2,“Làn đường” là gì?,,KNQTGT,,,,"Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, sử dụng cho xe chạy.","Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có bề rộng đủ cho xe chạy an toàn.","Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ bề rộng cho xe ô tô chạy an toàn.",,2,
3,Khái niệm “Khổ giới hạn đường bộ” được hiểu như thế nào là đúng?,,KNQTGT,,,,"Là khoảng trống có kích thước giới hạn về chiều cao, chiều rộng của đường, cầu, bến phà, hầm đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.","Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.","Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.",,1,
4,"Trong các khái niệm dưới đây, “dải phân cách” được hiểu như thế nào là đúng?",,KNQTGT,,,,Là bộ phận của đường để ngăn cách không cho các loại xe vào những nơi không được phép.,Là bộ phận của đường để phân tách phần đường xe chạy và hành lang an toàn giao thông.,Là bộ phận của đường để phân chia mặt đường thành hai chiều xe chạy riêng biệt hoặc để phân chia phần đường của xe cơ giới và xe thô sơ.,,3,
5,“Dải phân cách” trên đường bộ gồm những loại nào?,,KNQTGT,,,,Dải phân cách gồm loại cố định và loại di động.,"Dải phân cách gồm tường chống ồn, hộ lan cứng và hộ lan mềm.",Dải phân cách gồm giá long môn và biển báo hiệu đường bộ.,,1,
6,Người lái xe được hiểu như thế nào trong các khái niệm dưới đây?,,KNQTGT,,,,Là người điều khiển xe cơ giới,Là người điều khiển xe thô sơ.,Là người điều khiển xe có súc vật kéo.,,1,
7,"Đường mà trên đó phương tiện tham gia giao thông được các phương tiện giao thông đến từ hướng khác nhường đường khi qua nơi đường giao nhau, được cắm biển báo hiệu đường ưu tiên là loại đường gì?",,KNQTGT,,,,Đường không ưu tiên.,Đường tỉnh lộ.,Đường quốc lộ.,Đường ưu tiên.,4,
8,Khái niệm “phương tiện giao thông cơ giới đường bộ” được hiểu thế nào là đúng?,,KNQTGT,,,,Gồm xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.,"Gồm xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.",,,2,
9,Khái niệm “phương tiện giao thông thô sơ đường bộ” được hiểu thế nào là đúng?,,KNQTGT,,,,"Gồm xe đạp (kể cả xe đạp máy, xe đạp điện), xe xích lô, xe lăn dùng cho người khuyết tật, xe súc vật kéo và các loại xe tương tự.","Gồm xe đạp (kể cả xe đạp máy, xe đạp điện), xe gắn máy, xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.","Gồm xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo.",,1,
10,“Phương tiện tham gia giao thông đường bộ” gồm những loại nào?,,KNQTGT,,,,Phương tiện giao thông cơ giới đường bộ.,Phương tiện giao thông thô sơ đường bộ và xe máy chuyên dùng.,Cả ý 1 và ý 2.,,3,
11,“Người tham gia giao thông đường bộ” gồm những đối tượng nào?,,KNQTGT,,,,"Người điều khiển, người sử dụng phương tiện tham gia giao thông đường bộ.","Người điều khiển, dẫn dắt súc vật; người đi bộ trên đường bộ.",Cả ý 1 và ý 2.,,3,
12,“Người điều khiển phương tiện tham gia giao thông đường bộ” gồm những đối tượng nào dưới đây?,,KNQTGT,,,,"Người điều khiển xe cơ giới, người điều khiển xe thô sơ.",Người điều khiển xe máy chuyên dùng tham gia giao thông đường bộ.,Cả ý 1 và ý 2,,3,
13,Khái niệm “người điều khiển giao thông” được hiểu như thế nào là đúng?,,KNQTGT,,,,"Là người điều khiển phương tiện tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.","Là cảnh sát giao thông, người được giao nhiệm vụ hướng dẫn giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.","Là người tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.",,2,
14,Trong các khái niệm dưới đây khái niệm “dừng xe” được hiểu như thế nào là đúng?,,KNQTGT,,,,"Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.","Là trạng thái đứng yên tạm thời của phương tiện giao thông trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.",Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian giữa 02 lần vận chuyển hàng hóa hoặc hành khách.,,2,
15,Khái niệm “đỗ xe” được hiểu như thế nào là đúng quy tắc giao thông?,,KNQTGT,,,,"Là trạng thái đứng yên của phương tiện giao thông có giới hạn trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện đó, xếp dỡ hàng hóa hoặc thực hiện công việc khác.",Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian.,,,2,
16,Khái niệm “đường cao tốc” được hiểu như thế nào là đúng?,,KNQTGT,,,,Đường dành riêng cho xe ôtô và một số loại xe chuyên dùng được phép đi vào theo quy định của Luật Giao thông đường bộ.,Có dải phân cách phân chia đường cho xe chạy hai chiều riêng biệt mà dải phân cách này xe không đi được lên trên; không giao nhau cùng mức với một hoặc một số đường khác.,"Được bố trí đầy đủ trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình và chỉ cho xe ra, vào ở những điểm nhất định.",Tất cả các ý trên.,4,
17,Hành vi nào dưới đây bị nghiêm cấm?,,KNQTGT,,,1,Đỗ xe trên đường phố,Sử dụng xe đạp đi trên các tuyến quốc lộ có tốc độ cao.,"Làm hỏng (cố ý) cọc tiêu, gương cầu, dải phân cách.",Sử dụng còi và quay đầu xe trong khu dân cư.,3,
18,"Hành vi đưa xe cơ giới, xe máy chuyên dùng không bảo đảm tiêu chuẩn an toàn kỹ thuật và bảo vệ môi trường vào tham gia giao thông đường bộ có bị nghiêm cấm hay không?",,KNQTGT,,,1,Không nghiêm cấm.,Bị nghiêm cấm.,Bị nghiêm cấm tùy theo các tuyến đường.,Bị nghiêm cấm tuỳ theo loại xe.,2,
19,Cuộc đua xe chỉ được thực hiện khi nào?,,KNQTGT,,,1,Diễn ra trên đường phố không có người qua lại.,Được người dân ủng hộ.,Được cơ quan có thẩm quyền cấp phép.,,3,
20,Người điều khiển phương tiện giao thông đường bộ mà trong cơ thể có chất ma túy có bị nghiêm cấm hay không?,,KNQTGT,,,1,Bị nghiêm cấm.,Không bị nghiêm cấm.,"Không bị nghiêm cấm, nếu có chất ma túy ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.",,1,
21,"Việc lái xe mô tô, ô tô, máy kéo ngay sau khi uống rượu, bia có được phép hay không?",,KNQTGT,,,1,Không được phép.,Chỉ được lái ở tốc độ chậm và quãng đường ngắn.,Chỉ được lái nếu trong cơ thể có nồng độ cồn thấp.,,1,
22,"Người điều khiển xe ô tô, mô tô, máy kéo trên đường mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?",,KNQTGT,,,1,Bị nghiêm cấm.,Không bị nghiêm cấm.,"Không bị nghiêm cấm, nếu nồng độ cồn trong máu ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.",,1,
23,"Sử dụng rượu, bia khi lái xe, nếu bị phát hiện thì bị xử lý như thế nào?",,KNQTGT,,,1,Chỉ bị nhắc nhở.,Bị xử phạt hành chính hoặc có thể bị xử lý hình sự tùy theo mức độ vi phạm.,Không bị xử lý hình sự.,,2,
24,"Theo Luật phòng chống tác hại của rượu, bia, đối tượng nào dưới đây bị cấm sử dụng rượu, bia khi tham gia giao thông?",,KNQTGT,,,1,"Người điều khiển: Xe ô tô, xe mô tô, xe đạp, xe gắn máy.",Người ngồi phía sau người điều khiển xe cơ giới.,Người đi bộ.,Cả ý 1 và ý 2.,1,
25,"Hành vi giao xe cơ giới, xe máy chuyên dùng cho người không đủ điều kiện để điều khiển xe tham gia giao thông có được phép hay không?",,KNQTGT,,,1,Chỉ được thực hiện nếu đã hướng dẫn đầy đủ.,Không được phép.,Được phép tùy từng trường hợp.,Chỉ được phép thực hiện với thành viên trong gia đình.,2,
26,"Hành vi điều khiển xe cơ giới chạy quá tốc độ quy định, giành đường, vượt ẩu có bị nghiêm cấm hay không?",,KNQTGT,,,1,Bị nghiêm cấm tùy từng trường hợp.,Không bị nghiêm cấm.,Bị nghiêm cấm.,,3,
27,"Khi lái xe trên đường, người lái xe cần quan sát và bảo đảm tốc độ phương tiện như thế nào?",,KNQTGT,,,1,Chỉ lớn hơn tốc độ tối đa cho phép khi đường vắng.,Chỉ lớn hơn tốc độ tối đa cho phép vào ban đêm.,Không vượt quá tốc độ cho phép.,,3,
28,Phương tiện giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,,KNQTGT,,,1,Đi về phía bên trái.,Đi về phía bên phải.,Đi ở giữa.,,2,
29,"Trên đường có nhiều làn đường, khi điều khiển phương tiện ở tốc độ chậm bạn phải đi ở làn đường nào?",,KNQTGT,,,1,Đi ở làn bên phải trong cùng.,Đi ở làn phía bên trái.,Đi ở làn giữa.,Đi ở bất cứ làn nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.,1,
30,"Hành vi vượt xe tại các vị trí có tầm nhìn hạn chế, đường vòng, đầu dốc có bị nghiêm cấm hay không?",,KNQTGT,,,1,Không bị nghiêm cấm.,Không bị nghiêm cấm khi rất vội.,Bị nghiêm cấm.,Không bị nghiêm cấm khi khẩn cấp.,3,
31,"Khi lái xe trong khu đô thị và đông dân cư trừ các khu vực có biển cấm sử dụng còi, người lái xe được sử dụng còi như thế nào trong các trường hợp dưới đây?",,KNQTGT,,,,Từ 22 giờ đêm đến 5 giờ sáng.,Từ 5 giờ sáng đến 22 giờ tối.,Từ 23 giờ đêm đến 5 giờ sáng hôm sau.,,2,
32,Người lái xe sử dụng đèn như thế nào khi lái xe trong khu đô thị và đông dân cư vào ban đêm?,,KNQTGT,,,,Bất cứ đèn nào miễn là mắt nhìn rõ phía trước.,Chỉ bật đèn chiếu xa (đèn pha) khi không nhìn rõ đường.,"Đèn chiếu xa (đèn pha) khi đường vắng, đèn pha chiếu gần (đèn cốt) khi có xe đi ngược chiều.",Đèn chiếu gần (đèn cốt).,2,
33,"Hành vi lắp đặt, sử dụng còi, đèn không đúng thiết kế của nhà sản xuất đối với từng loại xe cơ giới có được phép hay không?",,KNQTGT,,,1,Được phép.,Không được phép.,Được phép tùy từng trường hợp.,,,
34,"Trong trường hợp đặc biệt, để được lắp đặt, sử dụng còi, đèn khác thiết kế của nhà sản xuất đối với từng loại xe cơ giới bạn phải đảm bảo yêu cầu nào dưới đây?",,KNQTGT,,,,Phải đảm bảo phụ tùng do đúng nhà sản xuất đó cung cấp.,Phải được chấp thuận của cơ quan có thẩm quyền.,Phải là xe đăng ký và hoạt động tại các khu vực có địa hình phức tạp.,,2,
35,"Việc sản xuất, mua bán, sử dụng biển số xe cơ giới, xe máy chuyên dùng được quy định như thế nào trong Luật Giao thông đường bộ?",,KNQTGT,,,1,"Được phép sản xuất, sử dụng khi bị mất biển số.","Được phép mua bán, sử dụng khi bị mất biển số.","Nghiêm cấm sản xuất, mua bán, sử dụng trái phép.",,3,
36,Người lái xe không được vượt xe khác khi gặp trường hợp nào ghi ở dưới đây?,,KNQTGT,,,1,"Trên cầu hẹp có một làn xe. Nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ.",Trên cầu có từ 02 làn xe trở lên; nơi đường bộ giao nhau không cùng mức với đường sắt; xe được quyền ưu tiên đang đi phía trước nhưng không phát tín hiệu ưu tiên.,Trên đường có 2 làn đường được phân chia làn bằng vạch kẻ nét đứt.,,1,
37,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt có được quay đầu xe hay không?",,KNQTGT,,,1,Được phép.,Không được phép.,Tùy từng trường hợp.,,2,
38,Bạn đang lái xe phía trước có một xe cảnh sát giao thông không phát tín hiệu ưu tiên bạn có được phép vượt hay không?,,KNQTGT,,,,Không được vượt.,Được vượt khi đang đi trên cầu.,Được phép vượt khi đi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông.,Được vượt khi đảm bảo an toàn.,4,
39,Bạn đang lái xe phía trước có một xe cứu thương đang phát tín hiệu ưu tiên bạn có được phép vượt hay không?,,KNQTGT,,,,Không được vượt.,Được vượt khi đang đi trên cầu.,Được phép vượt khi đi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông.,Được vượt khi đảm bảo an toàn.,1,
40,Người lái xe không được quay đầu xe trong các trường hợp nào dưới đây?,,KNQTGT,,,,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt.","Ở phía trước hoặc phía sau của phần đường dành cho người đi bộ qua đường, trên đường quốc lộ, tại nơi đường bộ giao nhau không cùng mức với đường sắt.",Cả ý 1 và ý 2.,,1,
41,"Bạn đang lái xe trong khu dân cư, có đông xe qua lại, nếu muốn quay đầu xe bạn cần làm gì để tránh ùn tắc và đảm bảo an toàn giao thông?",,KNQTGT,,,,Đi tiếp đến điểm giao cắt gần nhất hoặc nơi có biển báo cho phép quay đầu xe.,Bấm đèn khẩn cấp và quay đầu xe từ từ bảo đảm an toàn.,Bấm còi liên tục khi quay đầu xe để cảnh báo các xe khác.,Nhờ một người ra hiệu giao thông trên đường chậm lại trước khi quay đầu.,1,
42,Người lái xe không được lùi xe ở những khu vực nào dưới đây?,,KNQTGT,,,,Ở khu vực cho phép đỗ xe.,Ở khu vực cấm dừng và trên phần đường dành cho người đi bộ qua đường.,"Nơi đường bộ giao nhau, đường bộ giao nhau cùng mức với đường sắt, nơi tầm nhìn bị che khuất, trong hầm đường bộ, đường cao tốc.",Cả ý 2 và ý 3.,4,
43,"Người điều khiển phương tiện giao thông trên đường phố có được dừng xe, đỗ xe trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước hay không?",,KNQTGT,,,1,"Được dừng xe, đỗ xe trong trường hợp cần thiết.","Không được dừng xe, đỗ xe.","Được dừng xe, không được đỗ xe.",,2,
44,"Khi xe đã kéo 1 xe hoặc xe đã kéo 1 rơ moóc, bạn có được phép kéo thêm xe (kể cả xe thô sơ) hoặc rơ moóc thứ hai hay không?",,KNQTGT,,,,Chỉ được thực hiện trên đường quốc lộ có hai làn xe một chiều.,Chỉ được thực hiện trên đường cao tốc.,Không được thực hiện vào ban ngày.,Không được phép.,4,
45,"Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?",,KNQTGT,,,1,Được phép.,"Nếu phương tiện được kéo, đẩy có khối lượng nhỏ hơn phương tiện của mình.",Tùy trường hợp.,Không được phép.,4,
46,"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy có được phép hay không?",,KNQTGT,,,1,Được phép.,Tùy trường hợp.,Không được phép.,,3,
47,"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào không được phép?",,KNQTGT,,,1,"Buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy.",Buông một tay; sử dụng xe để chở người hoặc hàng hoá; để chân chạm xuống đất khi khởi hành.,Đội mũ bảo hiểm; chạy xe đúng tốc độ quy định và chấp hành đúng quy tắc giao thông đường bộ.,Chở người ngồi sau dưới 16 tuổi.,1,
48,"Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?",,KNQTGT,,,1,"Được mang, vác tùy trường hợp cụ thể.","Không được mang, vác.","Được mang, vác nhưng phải đảm bảo an toàn.",Được mang vác tùy theo sức khỏe của bản thân.,2,
49,"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được bám, kéo hoặc đẩy các phương tiện khác không?",,KNQTGT,,,1,Được phép.,Được bám trong trường hợp phương tiện của mình bị hỏng.,"Được kéo, đẩy trong trường hợp phương tiện khác bị hỏng.",Không được phép.,4,
50,"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không?",,KNQTGT,,,1,Được sử dụng.,Chỉ người ngồi sau được sử dụng.,Không được sử dụng.,Được sử dụng nếu không có áo mưa.,3,
51,Khi đang lên dốc người ngồi trên xe mô tô có được phép kéo theo người đang điều khiển xe đạp hay không?,,KNQTGT,,,1,Chỉ được phép nếu cả hai đội mũ bảo hiểm.,Không được phép.,Chỉ được phép thực hiện trên đường thật vắng.,Chỉ được phép khi người đi xe đạp đã quá mệt.,2,
52,"Hành vi sử dụng xe mô tô để kéo, đẩy xe mô tô khác bị hết xăng đến trạm mua xăng có được phép hay không?",,KNQTGT,,,1,Chỉ được kéo nếu đã nhìn thấy trạm xăng.,Chỉ được thực hiện trên đường vắng phương tiện cùng tham gia giao thông.,Không được phép.,,3,
