id,title,image,type,description,isSaved,isEssential,option1,option2,option3,option4,rightAnswer,isLearned
53,"Hành vi vận chuyển đồ vật cồng kềnh bằng xe mô tô, xe gắn máy khi tham gia giao thông có được phép hay không?",,KNQTGT,,,1,Không được vận chuyển.,Chỉ được vận chuyển khi đã chằng buộc cẩn thận.,Chỉ được vận chuyển vật cồng kềnh trên xe máy nếu khoảng cách về nhà ngắn hơn 2 km.,,1,
54,"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe ô tô tải, máy kéo có trọng tải từ 3.500 kg trở lên; xe hạng B2 kéo rơ moóc (FB2)?",,KNQTGT,,,,19 tuổi.,21 tuổi.,20 tuổi.,,2,
55,"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3.500 kg; xe ô tô chở người đến 9 chỗ ngồi?",,KNQTGT,,,,16 tuổi.,18 tuổi.,17 tuổi.,,2,
56,"Người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E), lái xe hạng D kéo rơ moóc (FD) phải đủ bao nhiêu tuổi trở lên?",,KNQTGT,,,,23 tuổi.,24 tuổi.,27 tuổi.,30 tuổi.,3,
57,Tuổi tối đa của người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E) là bao nhiêu tuổi?,,KNQTGT,,,,55 tuổi đối với nam và 50 tuổi đối với nữ.,55 tuổi đối với nam và nữ.,60 tuổi đối với nam và 55 tuổi đối với nữ.,45 tuổi đối với nam và 40 tuổi đối với nữ.,1,
58,"Người lái xe chở người từ 10 đến 30 chỗ ngồi (hạng D), lái xe hạng C kéo rơ moóc (FC) phải đủ bao nhiêu tuổi trở lên?",,KNQTGT,,,,23 tuổi.,24 tuổi.,22 tuổi.,18 tuổi.,2,
59,Người đủ 16 tuổi được điều khiển các loại xe nào dưới đây?,,KNQTGT,,,,Xe mô tô 2 bánh có dung tích xi-lanh từ 50 cm3 trở lên.,Xe gắn máy có dung tích xi-lanh dưới 50 cm3.,Xe ô tô tải dưới 3.500 kg; xe chở người đến 9 chỗ ngồi.,Tất cả các ý nêu trên.,2,
60,Người có giấy phép lái xe mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?,,KNQTGT,,,,Xe mô tô có dung tích xi-lanh 125 cm3.,Xe mô tô có dung tích xi-lanh từ 175 cm3 trở lên.,Xe mô tô có dung tích xi-lanh 100 cm3.,,2,
61,Người có giấy phép lái xe mô tô hạng A1 được phép điều khiển loại xe nào dưới đây?,,KNQTGT,,,,Xe mô tô có dung tích xi-lanh từ 50 cm3 đến dưới 175 cm3.,Xe mô tô ba bánh dành cho người khuyết tật.,Cả ý 1 và ý 2.,,3,
62,Người có giấy phép lái xe mô tô hạng A2 được phép điều khiển loại xe nào dưới đây?,,KNQTGT,,,,Xe mô tô ba bánh.,Xe mô tô hai bánh có dung tích xi lanh từ 175 cm3 trở lên và các loại xe quy định cho giấy phép lái xe hạng A1.,Các loại máy kéo nhỏ có trọng tải đến 1.000 kg.,,2,
63,Người có giấy phép lái xe mô tô hạng A3 được phép điều khiển loại xe nào dưới đây?,,KNQTGT,,,,Xe mô tô ba bánh.,Xe mô tô hai bánh có dung tích xi lanh từ 175 cm3 trở lên.,Các loại máy kéo nhỏ có trọng tải đến 1.000 kg.,,1,
64,Người có giấy phép lái xe hạng B1 số tự động được điều khiển loại xe nào?,,KNQTGT,,,,"Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế dưới 3.500 kg; ô tô dùng cho người khuyết tật. Không được hành nghề lái xe.","Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế dưới 3.500 kg; ô tô dùng cho người khuyết tật. Được hành nghề lái xe kinh doanh vận tải.","Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500 kg; ô tô dùng cho người khuyết tật.",,1,
65,Người có giấy phép lái xe hạng B1 được điều khiển loại xe nào?,,KNQTGT,,,,"Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500 kg; máy kéo kéo một rơ moóc có trọng tải thiết kế dưới 3.500 kg. Được hành nghề lái xe.","Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500 kg; máy kéo kéo một rơ moóc có trọng tải thiết kế dưới 3.500 kg. Không hành nghề lái xe.","Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế trên 3.500 kg; ô tô dùng cho người khuyết tật.",,2,
66,Người có giấy phép lái xe hạng B2 được điều khiển loại xe nào?,,KNQTGT,,,,Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500 kg.,Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải dưới 3.500 kg.,Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500 kg.,,2,
67,Người có giấy phép lái xe hạng C được điều khiển loại xe nào?,,KNQTGT,,,,Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500 kg.,Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500 kg.,Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500 kg.,,3,
68,Người có giấy phép lái xe hạng D được điều khiển loại xe nào dưới đây?,,KNQTGT,,,,"Xe ô tô chở người đến 30 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; xe ô tô tải, máy kéo có trọng tải trên 3.500 kg.","Xe ô tô chở người trên 30 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3.500 kg.","Xe kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe theo quy định cho giấy phép lái xe hạng B1, B2, C và FB2.",,1,
69,Người có giấy phép lái xe hạng E được điều khiển loại xe nào dưới đây?,,KNQTGT,,,,"Xe kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe theo quy định cho giấy phép lái xe hạng B1, B2, C và FB2.","Xe ô tô chở người trên 30 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3.500 kg.","Xe kéo rơ moóc và được điều khiển các loại xe; ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.",,2,
70,Người có giấy phép lái xe hạng FC được điều khiển loại xe nào dưới đây?,,KNQTGT,,,,"Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc, ô tô chở khách nối toa và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2 và FB2.","Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2 và FB2.","Mô tô hai bánh, các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2 và FB2.",Tất cả các loại xe nêu trên.,2,
71,Người có giấy phép lái xe hạng FE được điều khiển loại xe nào dưới đây?,,KNQTGT,,,,"Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ moóc và được điều khiển các loại xe: ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.","Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe: ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.",Tất cả các loại xe nêu trên.,,1,
72,"Biển báo hiệu có dạng hình tròn, viền đỏ, nền trắng, trên nền có hình vẽ hoặc chữ số, chữ viết màu đen là loại biển gì dưới đây?",qnthigplx_vn__q72.png,KNQTGT,,,,Biển báo nguy hiểm.,Biển báo cấm.,Biển báo hiệu lệnh.,Biển báo chỉ dẫn.,2,
73,"Biển báo hiệu có dạng tam giác đều, viền đỏ, nền màu vàng, trên có hình vẽ màu đen là loại biển gì dưới đây?",qnthigplx_vn__q73.png,KNQTGT,,,,Biển báo nguy hiểm.,Biển báo cấm.,Biển báo hiệu lệnh.,Biển báo chỉ dẫn.,1,
74,Biển báo hiệu hình tròn có nền xanh lam có hình vẽ màu trắng là loại biển gì dưới đây?,qnthigplx_vn__q74.png,KNQTGT,,,,Biển báo nguy hiểm.,Biển báo cấm.,Biển báo hiệu lệnh phải thi hành.,Biển báo chỉ dẫn.,3,
75,Biển báo hiệu hình chữ nhật hoặc hình vuông hoặc hình mũi tên nền xanh lam là loại biển gì dưới đây?,qnthigplx_vn__q75.png,KNQTGT,,,,Biển báo nguy hiểm.,Biển báo cấm.,Biển báo hiệu lệnh phải thi hành.,Biển báo chỉ dẫn.,4,
76,"Khi tập lái xe ô tô, người tập lái xe phải thực hiện các điều kiện gì dưới đây?",,KNQTGT,,,,Phải thực hành lái xe trên xe tập lái và có giáo viên bảo trợ tay lái.,Phải mang theo phù hiệu “học viên tập lái xe“.,"Phải mang theo giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường còn hiệu lực, giấy phép vận chuyển (nếu các loại xe đó cần phải có).",Cả ý 1 và ý 2.,4,
77,"Khi dạy thực hành lái xe, giáo viên phải mang theo các loại giấy tờ gì dưới đây?",,KNQTGT,,,,"Phải mang theo phù hiệu “Giáo viên dạy lái xe“, giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường còn hiệu lực, giấy phép xe tập lái do cơ quan có thẩm quyền cấp còn hiệu lực.",Phải mang theo phù hiệu “học viên tập lái xe” và kế hoạch học tập của khóa học.,"Phải mang theo giấy chứng nhận Giáo viên dạy thực hành lái xe, biên lai thu phí bảo trì đường bộ.",,1,
78,Xe ô tô tập lái phải đảm bảo các điều kiện gì dưới đây?,,KNQTGT,,,,"Gắn 02 biển “TẬP LÁI” trước và sau xe, có hệ thống phanh phụ được lắp đặt bảo đảm hiệu quả phanh, được bố trí bên ghế ngồi của giáo viên dạy thực hành lái xe.","Xe tập lái loại tải thùng có mui che mưa, che nắng, ghế ngồi cho học viên, có giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường phương tiện giao thông cơ giới đường bộ còn hiệu lực.",Cả ý 1 và ý 2.,,3,
79,Việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào?,,KNQTGT,,,,"Tại các cơ sở đào tạo lái xe có đủ điều kiện và phải bảo đảm công khai, minh bạch.","Tại sân tập lái của cơ sở đào tạo lái xe và phải đảm bảo công khai, minh bạch.","Tại các trung tâm sát hạch lái xe có đủ điều kiện hoạt động và phải bảo đảm công khai, minh bạch.",,3,
80,"Khi điều khiển xe chạy trên đường, người lái xe phải mang theo các loại giấy tờ gì?",,KNQTGT,,,,"Giấy chứng nhận tốt nghiệp khóa đào tạo của hạng xe đang điều khiển, đăng ký xe, giấy phép lưu hành xe.","Giấy phép lái xe phù hợp với loại xe đó; lệnh vận chuyển, đăng ký xe, giấy chứng nhận kiểm tra chất lượng an toàn kỹ thuật và bảo vệ môi trường của xe cơ giới sau khi cải tạo; giấy phép vận chuyển (nếu loại xe đó cần phải có).","Giấy phép lái xe phù hợp với loại xe đó, đăng ký xe, giấy chứng nhận kiểm định kỹ thuật và bảo vệ môi trường, giấy chứng nhận bảo hiểm trách nhiệm dân sự của chủ xe cơ giới và giấy phép vận chuyển (nếu loại xe đó cần phải có), các giấy tờ phải còn giá trị sử dụng.",,3,
81,"Khi sử dụng giấy phép lái xe đã khai báo mất để điều khiển phương tiện cơ giới đường bộ, ngoài việc bị thu hồi giấy phép lái xe, chịu trách nhiệm trước pháp luật, người lái xe không được cấp giấy phép lái xe trong thời gian bao nhiêu năm?",,KNQTGT,,,,2 năm.,3 năm.,5 năm.,4 năm.,3,
82,Khi gặp hiệu lệnh như dưới đây của cảnh sát giao thông thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?,qnthigplx_vn__q82.png,KNQTGT,,,,Người tham gia giao thông ở các hướng phải dừng lại.,Người tham gia giao thông ở các hướng được đi theo chiều gậy chỉ của cảnh sát giao thông.,Người tham gia giao thông ở phía trước và phía sau người điều khiển được đi tất cả các hướng; giao thông ở phía bên phải và phía bên trái người điều khiển phải dừng lại.,Người tham gia giao thông ở phía trước và phía sau người điều khiển phải dừng lại; giao thông ở phía bên phải và bên trái người điều khiển được đi tất cả các hướng.,4,
83,Khi gặp hiệu lệnh như dưới đây của cảnh sát giao thông thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?,qnthigplx_vn__q83.png,KNQTGT,,,,"Người tham gia giao thông ở hướng đối diện cảnh sát giao thông được đi, các hướng khác cần phải dừng lại.",Người tham gia giao thông được rẽ phải theo chiều mũi tên màu xanh ở bục cảnh sát giao thông.,Người tham gia giao thông ở các hướng đều phải dừng lại trừ các xe đã ở trong khu vực giao nhau.,"Người ở hướng đối diện cảnh sát giao thông phải dừng lại, các hướng khác được đi trong đó có bạn.",3,
84,"Trên đường giao thông, khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào?",,KNQTGT,,,1,Hiệu lệnh của người điều khiển giao thông.,Hiệu lệnh của đèn điều khiển giao thông.,Hiệu lệnh của biển báo hiệu đường bộ.,Theo quyết định của người tham gia giao thông nhưng phải bảo đảm an toàn.,1,
85,Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu nào?,,KNQTGT,,,,Biển báo hiệu cố định.,Báo hiệu tạm thời.,,,,
86,"Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi như thế nào?",,KNQTGT,,,,"Cho xe đi trên bất kỳ làn đường nào hoặc giữa 02 làn đường nếu không có xe phía trước; khi cần thiết phải chuyển làn đường, người lái xe phải quan sát xe phía trước để bảo đảm an toàn.",Phải cho xe đi trong một làn đường và chỉ được chuyển làn đường ở những nơi cho phép; khi chuyển làn phải có tín hiệu báo trước và phải bảo đảm an toàn.,"Phải cho xe đi trong một làn đường, khi cần thiết phải chuyển làn đường, người lái xe phải quan sát xe phía trước để bảo đảm an toàn.",,2,
87,"Trên đường một chiều có vạch kẻ phân làn đường, xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông?",,KNQTGT,,,,"Xe thô sơ phải đi trên làn đường bên trái ngoài cùng, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên phải.","Xe thô sơ phải đi trên làn đường bên phải trong cùng; xe cơ giới, xe máy chuyên dùng đi trên làn đường bên trái.","Xe thô sơ đi trên làn đường phù hợp không gây cản trở giao thông, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên phải.",,2,
88,"Bạn đang lái xe trong khu vực đô thị từ 22 giờ đến 5 giờ sáng hôm sau và cần vượt một xe khác, bạn cần báo hiệu như thế nào để đảm bảo an toàn giao thông?",,KNQTGT,,,,Phải báo hiệu bằng đèn hoặc còi.,Chỉ được báo hiệu bằng còi.,Phải báo hiệu bằng cả còi và đèn.,Chỉ được báo hiệu bằng đèn.,4,
89,Khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điều kiện an toàn người lái xe phải làm gì?,,KNQTGT,,,,"Tăng tốc độ và ra hiệu cho xe sau vượt, không được gây trở ngại cho xe sau vượt.","Người điều khiển phương tiện phía trước phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được gây trở ngại cho xe sau vượt.","Người điều khiển phương tiện phía trước phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được gây trở ngại cho xe sau vượt.",,2,
90,"Trong khu dân cư, ở nơi nào cho phép người lái xe, người điều khiển xe máy chuyên dùng được quay đầu xe?",,KNQTGT,,,,Ở nơi đường giao nhau và nơi có biển báo cho phép quay đầu xe.,Ở nơi có đường rộng để cho các loại xe chạy một chiều.,Ở bất kỳ nơi nào.,,1,
91,"Người lái xe phải làm gì khi quay đầu xe trên cầu, đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt?",,KNQTGT,,,1,Không được quay đầu xe.,Lợi dụng chỗ rộng và phải có người làm tín hiệu sau xe để bảo đảm an toàn.,Lợi dụng chỗ rộng có thể quay đầu được để quay đầu xe cho an toàn.,,1,
92,,,KNQTGT,,,,,,,,,
93,,,KNQTGT,,,,,,,,,
94,,,KNQTGT,,,,,,,,,
95,,,KNQTGT,,,,,,,,,
96,,,KNQTGT,,,,,,,,,
97,,,KNQTGT,,,,,,,,,
98,,,KNQTGT,,,,,,,,,
99,"Trên đoạn đường bộ giao nhau cùng mức với đường sắt, cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước?",,KNQTGT,,,1,Phương tiện nào bên phải không vướng.,Phương tiện nào ra tín hiệu xin đường trước.,Phương tiện giao thông đường sắt.,,3,
100,Người lái xe phải làm gì khi điều khiển xe vào đường cao tốc?,,KNQTGT,,,1,Phải có tín hiệu xin vào và phải nhường đường cho xe đang chạy trên đường; khi thấy an toàn mới cho xe nhập vào dòng xe ở làn đường sát mép ngoài; nếu có làn đường tăng tốc thì phải cho xe chạy trên làn đường đó trước khi vào làn đường của đường cao tốc.,Phải có tín hiệu xin vào và phải nhanh chóng vượt xe đang chạy trên đường để nhập vào dòng xe ở làn đường sát mép ngoài; nếu có làn đường tăng tốc thì phải cho xe chạy qua làn đường đó để vào làn đường của đường cao tốc.,,,1,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,
122,,,,,,,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,,,,,,,,,,,,
128,,,,,,,,,,,,
129,,,,,,,,,,,,
130,,,,,,,,,,,,
131,,,,,,,,,,,,
